# 示例数据仅用于验证工具运行，不代表完整、权威或实时行情。
date,close,earningsYield,riskFreeYield,revenueGrowth,marginTrend,sectorMomentum
2019-01-31,164.80,3.60%,2.63%,12.5%,1.0%,8.0%
2019-02-28,169.20,3.50%,2.72%,12.2%,0.8%,7.0%
2019-03-31,179.10,3.35%,2.41%,12.0%,0.6%,9.5%
2019-04-30,188.50,3.20%,2.50%,11.7%,0.5%,11.0%
2019-05-31,171.00,3.55%,2.14%,11.5%,0.3%,-5.0%
2019-06-30,186.70,3.30%,2.00%,11.3%,0.5%,6.0%
2019-07-31,191.10,3.20%,2.02%,11.0%,0.4%,7.5%
2019-08-31,187.30,3.30%,1.50%,10.8%,0.2%,-1.0%
2019-09-30,189.90,3.25%,1.68%,10.5%,0.1%,2.0%
2019-10-31,197.50,3.10%,1.69%,10.4%,0.3%,5.0%
2019-11-30,205.30,2.95%,1.78%,10.2%,0.4%,8.0%
2019-12-31,212.60,2.85%,1.92%,10.0%,0.5%,9.0%
2020-01-31,220.10,2.75%,1.51%,9.8%,0.2%,8.5%
2020-02-29,205.20,3.05%,1.15%,9.0%,-0.2%,-8.0%
2020-03-31,185.40,3.60%,0.70%,6.0%,-1.0%,-22.0%
2020-04-30,215.80,3.10%,0.64%,6.5%,-0.8%,12.0%
2020-05-31,232.40,2.85%,0.65%,7.5%,-0.4%,16.0%
2020-06-30,247.00,2.70%,0.66%,8.2%,0.0%,18.0%
2020-07-31,265.70,2.55%,0.55%,9.0%,0.3%,20.0%
2020-08-31,295.10,2.30%,0.70%,10.0%,0.5%,24.0%
2020-09-30,277.60,2.45%,0.69%,10.5%,0.4%,-7.0%
2020-10-31,269.30,2.55%,0.88%,10.8%,0.2%,-6.0%
2020-11-30,299.00,2.35%,0.84%,11.5%,0.6%,14.0%
2020-12-31,313.70,2.20%,0.93%,12.0%,0.8%,13.0%
2021-01-31,314.20,2.15%,1.11%,12.8%,0.9%,3.0%
2021-02-28,314.00,2.20%,1.44%,13.0%,0.7%,-2.0%
2021-03-31,320.40,2.15%,1.74%,13.2%,0.6%,1.0%
2021-04-30,340.80,2.00%,1.63%,13.5%,0.8%,8.0%
2021-05-31,333.90,2.05%,1.58%,13.4%,0.7%,-1.0%
2021-06-30,354.10,1.95%,1.45%,13.2%,0.7%,7.5%
2021-07-31,365.50,1.85%,1.24%,13.0%,0.6%,6.0%
2021-08-31,381.40,1.75%,1.30%,12.8%,0.6%,8.0%
2021-09-30,359.30,1.90%,1.52%,12.4%,0.4%,-7.0%
2021-10-31,386.10,1.75%,1.56%,12.3%,0.5%,11.0%
2021-11-30,399.60,1.65%,1.44%,12.0%,0.4%,8.0%
2021-12-31,397.80,1.70%,1.52%,11.7%,0.3%,-1.0%
2022-01-31,363.20,2.05%,1.78%,11.2%,0.0%,-12.0%
2022-02-28,345.80,2.20%,1.83%,10.8%,-0.2%,-10.0%
2022-03-31,362.50,2.10%,2.32%,10.5%,-0.1%,5.0%
2022-04-30,313.40,2.55%,2.89%,9.8%,-0.5%,-16.0%
2022-05-31,309.20,2.65%,2.84%,9.3%,-0.8%,-3.0%
2022-06-30,280.10,3.05%,2.98%,8.5%,-1.2%,-11.0%
2022-07-31,315.50,2.70%,2.65%,8.2%,-0.9%,12.0%
2022-08-31,300.30,2.85%,3.15%,7.8%,-0.8%,-6.0%
2022-09-30,267.20,3.35%,3.83%,7.0%,-1.0%,-14.0%
2022-10-31,277.40,3.20%,4.05%,6.8%,-1.1%,4.0%
2022-11-30,293.60,3.00%,3.68%,6.5%,-1.0%,8.0%
2022-12-31,266.30,3.35%,3.88%,6.2%,-1.1%,-9.0%
2023-01-31,294.50,3.00%,3.53%,6.8%,-0.8%,11.0%
2023-02-28,293.20,3.05%,3.92%,7.0%,-0.6%,-1.0%
2023-03-31,320.80,2.75%,3.48%,7.5%,-0.3%,10.0%
2023-04-30,322.10,2.70%,3.43%,7.8%,-0.2%,2.0%
2023-05-31,347.90,2.45%,3.64%,8.5%,0.1%,12.0%
2023-06-30,370.30,2.25%,3.81%,9.3%,0.3%,13.0%
2023-07-31,383.70,2.15%,3.97%,9.7%,0.4%,7.0%
2023-08-31,377.20,2.20%,4.09%,10.0%,0.3%,-2.0%
2023-09-30,358.60,2.35%,4.57%,10.2%,0.2%,-6.0%
2023-10-31,350.40,2.45%,4.88%,10.4%,0.1%,-5.0%
2023-11-30,389.10,2.20%,4.37%,10.8%,0.3%,11.0%
2023-12-31,409.60,2.05%,3.88%,11.0%,0.5%,9.0%
2024-01-31,423.20,1.95%,3.99%,11.3%,0.6%,6.0%
2024-02-29,438.40,1.85%,4.25%,11.5%,0.7%,7.5%
2024-03-31,444.80,1.80%,4.20%,11.8%,0.8%,4.0%
2024-04-30,425.30,1.95%,4.69%,11.7%,0.7%,-5.0%
2024-05-31,454.20,1.80%,4.51%,12.0%,0.8%,8.0%
2024-06-30,479.40,1.65%,4.36%,12.2%,0.9%,10.0%
2024-07-31,459.10,1.75%,4.09%,12.1%,0.8%,-4.0%
2024-08-31,476.30,1.70%,3.91%,12.0%,0.7%,5.0%
2024-09-30,488.70,1.65%,3.81%,12.2%,0.7%,6.0%
2024-10-31,487.20,1.65%,4.28%,12.1%,0.6%,-1.0%
2024-11-30,509.50,1.55%,4.18%,12.3%,0.7%,7.0%
2024-12-31,515.10,1.50%,4.57%,12.4%,0.6%,3.0%
